id,data_provider,country,partner_product_category,product_category,product_category_id,brand,year_of_manufacture,product_age,repair_status,repair_barrier_if_end_of_life,group_identifier,event_date,problem
rcdenmark_12914,Repair Café Denmark,DNK,Værktøj/haveredskaber ~ Boremaskine,Power tool,24,Unknown,"","",Fixed,"",RC Aalestrup,2024-02-14,""
rcdenmark_12912,Repair Café Denmark,DNK,Husholdningsapparater ~ Støvsuger,Vacuum,34,Unknown,"","",Fixed,"",RC Aalestrup,2024-03-13,""
rcdenmark_12911,Repair Café Denmark,DNK,Andet ~ Grammofon,Hi-Fi separates,13,Unknown,"","",Fixed,"",RC Aalestrup,2024-03-13,""
rcdenmark_12512,Repair Café Denmark,DNK,"Lamper ~ 2 lamper, ledning",Lamp,15,Unknown,"","",Fixed,"",RC Aalestrup,2024-04-17,""
rcdenmark_11641,Repair Café Denmark,DNK,Andet ~ Støvsuger,Vacuum,34,Unknown,"","",Fixed,"",RC Aalestrup,2024-04-17,""
rcdenmark_11640,Repair Café Denmark,DNK,AV-udstyr ~ Musikanlæg,Hi-Fi integrated,12,Unknown,"","",End of life,Item too worn out,RC Aalborg,2020-01-04,""
rcdenmark_11639,Repair Café Denmark,DNK,AV-udstyr ~ Fladskærmtv LED,Flat screen,8,LG,"","",End of life,Item too worn out,RC Aalborg,2020-01-04,""
rcdenmark_10479,Repair Café Denmark,DNK,AV-udstyr ~ Fladskærmstv LED,Flat screen,8,Blaupunkt,"","",End of life,Item too worn out,RC Aalborg,2020-01-04,""
rcdenmark_10478,Repair Café Denmark,DNK,AV-udstyr ~ Digitalkamera,Digital compact camera,5,Sony,"","",End of life,Spare parts not available,RC Aalborg,2020-01-04,""
rcdenmark_10477,Repair Café Denmark,DNK,AV-udstyr ~ CD-afspiller,Hi-Fi separates,13,Phillips,"","",End of life,Spare parts too expensive,RC Aalborg,2020-01-04,""
rcdenmark_10476,Repair Café Denmark,DNK,Husholdningsapparater ~ Lyskæde,Decorative or safety lights,3,Unknown,"","",Fixed,"",RC Aalborg,2020-01-04,""
rcdenmark_9649,Repair Café Denmark,DNK,Husholdningsapparater ~ Kaffemaskine,Coffee maker,36,Unknown,"","",Fixed,"",RC Aalborg,2020-01-04,""
rcdenmark_9648,Repair Café Denmark,DNK,Husholdningsapparater ~ El-kedel,Kettle,14,Unknown,"","",End of life,Lack of equipment,RC Aalborg,2020-01-04,""
rcdenmark_9647,Repair Café Denmark,DNK,Værktøj/haveredskaber ~ Boremaskine,Power tool,24,Bosch,"","",Fixed,"",RC Aalborg,2020-01-04,""
rcdenmark_9646,Repair Café Denmark,DNK,Værktøj/haveredskaber ~ Rystepudser,Power tool,24,Unknown,"","",End of life,Repair information not available,RC Aalborg,2020-01-04,""
rcdenmark_9645,Repair Café Denmark,DNK,Lamper ~ Lampefod,Lamp,15,Unknown,"","",Fixed,"",RC Aalborg,2020-01-04,""
