id,data_provider,country,partner_product_category,product_category,product_category_id,brand,year_of_manufacture,product_age,repair_status,repair_barrier_if_end_of_life,group_identifier,event_date,problem
rcdenmark_25627,Repair Café Denmark,DNK,Husholdningsapparater ~ Kaffemaskine,Coffee maker,36,Melitta,"","",Fixed,"",Grønt Værksted Langaa,2025-04-01,""
rcdenmark_12914,Repair Café Denmark,DNK,Husholdningsapparater ~ Symaskine,Sewing machine,27,Bernina,"","",Fixed,"",Grønt Værksted Langaa,2025-04-01,""
rcdenmark_38565,Repair Café Denmark,DNK,AV-udstyr ~ Pladespiller,Hi-Fi separates,13,B&O,"","",Fixed,"",Grønt Værksted Langaa,2025-04-01,""
rcdenmark_12912,Repair Café Denmark,DNK,Legetøj ~ Vandfontæne,Toy,32,Unknown,"","",End of life,No way to open product,Grønt Værksted Langaa,2025-04-01,""
rcdenmark_12911,Repair Café Denmark,DNK,Værktøj/haveredskaber ~ Løvsuger,Power tool,24,Unknown,"","",Fixed,"",Grønt Værksted Langaa,2025-04-01,""
rcdenmark_12513,Repair Café Denmark,DNK,Lamper ~ Lampe,Lamp,15,Unknown,"","",Fixed,"",Grønt Værksted Langaa,2025-04-01,""
rcdenmark_12512,Repair Café Denmark,DNK,AV-udstyr ~ Headset,Headphones,11,Unknown,"","",Fixed,"",Grønt Værksted Langaa,2025-04-01,""
rcdenmark_25925,Repair Café Denmark,DNK,Husholdningsapparater ~ 2 bordlightere,Decorative or safety lights,3,Unknown,"","",Fixed,"",Grønt Værksted Langaa,2025-04-01,""
rcdenmark_11641,Repair Café Denmark,DNK,Lamper ~ Standerlampe,Lamp,15,Unknown,"","",Fixed,"",Grønt Værksted Langaa,2025-04-01,""
rcdenmark_11640,Repair Café Denmark,DNK,Lamper ~ Industrilampe,Decorative or safety lights,3,Unknown,"","",Fixed,"",Grønt Værksted Langaa,2025-04-01,""
rcdenmark_11639,Repair Café Denmark,DNK,Værktøj/haveredskaber ~ Dyksav,Power tool,24,Unknown,"","",Fixed,"",Grønt Værksted Langaa,2025-04-01,""
rcdenmark_10479,Repair Café Denmark,DNK,Husholdningsapparater ~ Dørklokke,Small home electrical,28,Unknown,"","",Fixed,"",Grønt Værksted Langaa,2025-04-01,""
rcdenmark_10478,Repair Café Denmark,DNK,Værktøj/haveredskaber ~ Rundsav,Power tool,24,Bosch,"","",End of life,Lack of equipment,Grønt Værksted Langaa,2025-04-01,""
rcdenmark_10477,Repair Café Denmark,DNK,Lamper ~ Lyskæde,Decorative or safety lights,3,Unknown,"","",End of life,Item too worn out,Grønt Værksted Langaa,2025-04-01,""
rcdenmark_10476,Repair Café Denmark,DNK,Lamper ~ Julelampe,Decorative or safety lights,3,Unknown,"","",Fixed,"",Grønt Værksted Langaa,2025-04-01,""
rcdenmark_9649,Repair Café Denmark,DNK,Lamper ~ Standerlampe,Lamp,15,Unknown,"","",Fixed,"",Grønt Værksted Langaa,2025-04-01,""
rcdenmark_9645,Repair Café Denmark,DNK,Cykler ~ Batteri,Battery/charger/adapter,2,Unknown,"","",End of life,"",Grønt Værksted Langaa,2025-07-01,""
rcdenmark_9644,Repair Café Denmark,DNK,Husholdningsapparater ~ kaffemask.,Coffee maker,36,Philips,"","",Fixed,"",Grønt Værksted Langaa,2025-07-01,""
rcdenmark_9643,Repair Café Denmark,DNK,Husholdningsapparater ~ Strygejern,Iron,40,Tefal,"","",Fixed,"",Grønt Værksted Langaa,2025-07-01,""
rcdenmark_9641,Repair Café Denmark,DNK,Lamper ~ Sakselampe,Decorative or safety lights,3,Unknown,"","",Fixed,"",Grønt Værksted Langaa,2025-07-01,""
rcdenmark_9640,Repair Café Denmark,DNK,Lamper ~ Bordlampe,Lamp,15,LIGHTS,"","",Fixed,"",Grønt Værksted Langaa,2025-07-01,""
rcdenmark_9639,Repair Café Denmark,DNK,AV-udstyr ~ Power supply,Battery/charger/adapter,2,Unknown,"","",Fixed,"",Grønt Værksted Langaa,2025-07-01,""
rcdenmark_9636,Repair Café Denmark,DNK,Husholdningsapparater ~ Symaskine,Sewing machine,27,Singer,"","",Fixed,"",Grønt Værksted Langaa,2025-07-01,""
rcdenmark_8342,Repair Café Denmark,DNK,Husholdningsapparater ~ Symask,Sewing machine,27,Eva,"","",Fixed,"",Grønt Værksted Langaa,2025-07-01,""
rcdenmark_8340,Repair Café Denmark,DNK,Husholdningsapparater ~ Steam cleaner,Power tool,24,Silverchrest,"","",End of life,Lack of equipment,Grønt Værksted Langaa,2025-07-01,""
rcdenmark_8339,Repair Café Denmark,DNK,Husholdningsapparater ~ Kogeplade,Small kitchen item,29,Unknown,"","",Fixed,"",Grønt Værksted Langaa,2025-07-01,""
rcdenmark_8338,Repair Café Denmark,DNK,AV-udstyr ~ DAB radio,Portable radio,23,Unknown,"","",Fixed,"",Grønt Værksted Langaa,2025-07-01,""
rcdenmark_8337,Repair Café Denmark,DNK,Husholdningsapparater ~ Støvsuger,Vacuum,34,Unknown,"","",Fixed,"",Grønt Værksted Langaa,2025-07-01,""
