id,data_provider,country,language,product_category,brand,model,year_of_manufacture,repair_status,group_identifier,date,problem
repaircafe_5283,Repair Café,NLD,Dutch,Printer/scanner,Samsung,Unknown,2017,Fixed,Repair Café 0011,2019-02-09,print niet meer
repaircafe_5286,Repair Café,NLD,Dutch,Printer/scanner,Canon,Unknown,2014,Unknown,Repair Café 0011,2019-02-09,zit vast
repaircafe_5288,Repair Café,NLD,Dutch,Watch/clock,Philips ,Unknown,1985,Fixed,Repair Café 0011,2019-02-09,gaat uit zichzelf aan
repaircafe_5289,Repair Café,NLD,Dutch,Mobile,Huawei,Unknown,2018,Fixed,Repair Café 0011,2019-02-09,instellingen
repaircafe_5290,Repair Café,NLD,Dutch,Desktop computer,Dell,Unknown,????,Unknown,Repair Café 0011,2019-02-09,start niet op
repaircafe_5292,Repair Café,NLD,Dutch,Headphones,Sony,Unknown,2018,Fixed,Repair Café 0011,2019-02-09,stekkertje afgebroken
repaircafe_5293,Repair Café,NLD,Dutch,Kettle,Silvercrest,Unknown,2015,Fixed,Repair Café 0011,2019-02-09,deksel gaat niet meer goed open
repaircafe_5294,Repair Café,NLD,Dutch,TV and gaming-related accessories,Philips ,Unknown,????,Unknown,Repair Café 0046,2019-02-15,geen beeld
repaircafe_5295,Repair Café,NLD,Dutch,Small home electrical,Unknown,Unknown,????,Fixed,Repair Café 0046,2019-02-15,lamp knippert
repaircafe_5296,Repair Café,NLD,Dutch,DLSR / Video Camera,Philips ,Unknown,????,Unknown,Repair Café 0046,2019-02-15,Neemt niet op
repaircafe_5297,Repair Café,NLD,Dutch,Hi-Fi integrated,PLL,Unknown,????,Unknown,Repair Café 0046,2019-02-15,CD en USB spelen niet af
repaircafe_5298,Repair Café,NLD,Dutch,Small home electrical,Braun,Unknown,2012,Unknown,Repair Café 0065,2019-02-14,
repaircafe_5300,Repair Café,NLD,Dutch,Desktop computer,HP,Unknown,2009,Fixed,Repair Café 0065,2019-02-14,Software
repaircafe_5301,Repair Café,NLD,Dutch,Vacuum,Siemens,Unknown,2013,Unknown,Repair Café 0065,2019-02-14,Schakelaar defect
repaircafe_5302,Repair Café,NLD,Dutch,Small kitchen item,Home Essentials ,Unknown,2015,Fixed,Repair Café 0065,2019-02-14,Gaat niet aan
repaircafe_5303,Repair Café,NLD,Dutch,Small kitchen item,Tefal,Unknown,1980,Unknown,Repair Café 0065,2019-02-14,Kortsluiting 
repaircafe_5304,Repair Café,NLD,Dutch,Lamp,Unknown,Unknown,????,Fixed,Repair Café 0036,2019-01-18,schakelaar defect
repaircafe_5305,Repair Café,NLD,Dutch,Small home electrical,Unknown,Unknown,????,Fixed,Repair Café 0025,2019-02-09,Slede transporteerd niet
repaircafe_5306,Repair Café,NLD,Dutch,Hi-Fi separates,Panasonic,Unknown,????,Fixed,Repair Café 0025,2019-02-09,Slee doet het niet
repaircafe_5307,Repair Café,NLD,Dutch,TV and gaming-related accessories,Philips ,Unknown,????,Unknown,Repair Café 0025,2019-02-09,Stopta na 'pats'
repaircafe_5308,Repair Café,NLD,Dutch,Hi-Fi separates,Denon,Unknown,2010,Fixed,Repair Café 0025,2019-02-09,Slecht contact USB poort
repaircafe_5309,Repair Café,NLD,Dutch,Portable radio,Unknown,Unknown,????,Unknown,Repair Café 0025,2019-02-09,"Geen geluid, display gaat wel aan en uit"
repaircafe_5310,Repair Café,NLD,Dutch,Tablet,Koho,Unknown,????,Repairable,Repair Café 0025,2019-02-09,Laadt niet meer op
repaircafe_5316,Repair Café,NLD,Dutch,Watch/clock,Unknown,Unknown,????,Fixed,Repair Café 0025,2019-02-09,Veer zit vast
repaircafe_5319,Repair Café,NLD,Dutch,Vacuum,Rowenta,Unknown,????,Fixed,Repair Café 0025,2019-02-09,Werkt niet
repaircafe_5320,Repair Café,NLD,Dutch,Vacuum,Miele,Unknown,????,Fixed,Repair Café 0025,2019-02-09,Doet niets meer
repaircafe_5321,Repair Café,NLD,Dutch,Small kitchen item,DeLonghi,Unknown,????,Repairable,Repair Café 0025,2019-02-09,
repaircafe_5322,Repair Café,NLD,Dutch,Hair & Beauty item,Unknown,Unknown,????,Repairable,Repair Café 0025,2019-02-09,Start niet
repaircafe_5323,Repair Café,NLD,Dutch,Hair & Beauty item,Unknown,Unknown,2000,Fixed,Repair Café 0025,2019-02-09,Kopjes eraf na vallen
repaircafe_5324,Repair Café,NLD,Dutch,Small kitchen item,Krups,Unknown,????,Fixed,Repair Café 0025,2019-02-09,Hapert
repaircafe_5325,Repair Café,NLD,Dutch,Lamp,Paris France Style,Unknown,1920,Fixed,Repair Café 0025,2019-02-09,Doet het niet
repaircafe_5326,Repair Café,NLD,Dutch,Lamp,Ikea,Unknown,2014,Fixed,Repair Café 0025,2019-02-09,Fittingring stuk
repaircafe_5327,Repair Café,NLD,Dutch,Small kitchen item,Philips ,Unknown,2016,Fixed,Repair Café 0025,2019-02-09,"Doet het niet, 2 weken na afloop garantie. Philips weigert alles."
repaircafe_5328,Repair Café,NLD,Dutch,Small home electrical,Hurricane X,Unknown,????,Fixed,Repair Café 0025,2019-02-09,Borstel draait niet
repaircafe_5329,Repair Café,NLD,Dutch,Small home electrical,Unknown,Unknown,????,Repairable,Repair Café 0025,2019-02-09,Lamp brand steeds door
repaircafe_5331,Repair Café,NLD,Dutch,Large home electrical,Philips ,Unknown,1965,Repairable,Repair Café 0025,2019-02-09,Verwarmingselement boven defect
repaircafe_5332,Repair Café,NLD,Dutch,Vacuum,Bosch,Unknown,2000,Fixed,Repair Café 0025,2019-02-09,Stopte er opeens mee
repaircafe_5333,Repair Café,NLD,Dutch,Small kitchen item,Braun,Unknown,2008,Repairable,Repair Café 0025,2019-02-09,Stopt weer na het starten
repaircafe_5334,Repair Café,NLD,Dutch,Hi-Fi separates,Dual,Unknown,????,Fixed,Repair Café 0025,2019-02-09,Draait niet meer
repaircafe_5336,Repair Café,NLD,Dutch,Small kitchen item,Unknown,Unknown,????,Unknown,Repair Café 0025,2019-02-09,Wordt niet meer heet
repaircafe_5337,Repair Café,NLD,Dutch,Small kitchen item,Philips ,Unknown,2010,Fixed,Repair Café 0025,2019-02-09,Lekt water bij deksel
repaircafe_5338,Repair Café,NLD,Dutch,Vacuum,Black & Decker,Unknown,????,Unknown,Repair Café 0025,2019-02-09,Doet het niet meer
repaircafe_5339,Repair Café,NLD,Dutch,Vacuum,AEG,Unknown,????,Unknown,Repair Café 0025,2019-02-09,Doet het niet
repaircafe_5340,Repair Café,NLD,Dutch,Vacuum,Philips ,Unknown,????,Unknown,Repair Café 0025,2019-02-09,Doet het niet
repaircafe_5341,Repair Café,NLD,Dutch,Kettle,Unknown,Unknown,????,Fixed,Repair Café 0025,2019-02-09,Stoppen slaan door
repaircafe_5342,Repair Café,NLD,Dutch,Small kitchen item,Braun,Unknown,2008,Fixed,Repair Café 0025,2019-02-09,Doet het ineens niet meer
repaircafe_5343,Repair Café,NLD,Dutch,Small kitchen item,Krups,Unknown,2016,Fixed,Repair Café 0025,2019-02-09,"Lampjes branden niet, melkverwarming werkt wel"
repaircafe_5344,Repair Café,NLD,Dutch,Battery/charger/adapter,Unknown,Unknown,????,Fixed,Repair Café 0025,2019-02-09,Defect snoer
repaircafe_5345,Repair Café,NLD,Dutch,Printer/scanner,HP,Unknown,????,Fixed,Repair Café 0046,2019-02-11,print niet meer na printkop vervanging
repaircafe_5346,Repair Café,NLD,Dutch,Hair & Beauty item,Philips ,Unknown,????,Unknown,Repair Café 0046,2019-02-11,doet het niet meer
repaircafe_5347,Repair Café,NLD,Dutch,Lamp,Topcraft,Unknown,????,Fixed,Repair Café 0046,2019-02-11,brand niet
repaircafe_5348,Repair Café,NLD,Dutch,Musical instrument,Alhambra,Unknown,????,Fixed,Repair Café 0046,2019-02-11,knop op gitaar zetten
repaircafe_5349,Repair Café,NLD,Dutch,Hair & Beauty item,Nevadent,Unknown,????,Fixed,Repair Café 0046,2019-02-11,draait niet meer
repaircafe_5350,Repair Café,NLD,Dutch,Printer/scanner,Canon,Unknown,2010,Fixed,Repair Café 0046,2019-02-11,doet het niet meer
repaircafe_5351,Repair Café,NLD,Dutch,Headphones,Jabra,Unknown,????,Fixed,Repair Café 0046,2019-02-11,draadje los
repaircafe_5352,Repair Café,NLD,Dutch,Kettle,Tefal,Unknown,????,Fixed,Repair Café 0046,2019-02-11,doet het niet meer
repaircafe_5353,Repair Café,NLD,Dutch,Vacuum,Miele,Unknown,????,Unknown,Repair Café 0046,2019-02-11,Kortsluiting
repaircafe_5355,Repair Café,NLD,Dutch,Hi-Fi separates,NAD,Unknown,1990,Unknown,Repair Café 0026,2018-12-14,Speelt niet af
repaircafe_5356,Repair Café,NLD,Dutch,Vacuum,Philips ,Unknown,2015,Unknown,Repair Café 0026,2018-12-14,Startknop kapot
repaircafe_5357,Repair Café,NLD,Dutch,Small kitchen item,Philips ,Unknown,2016,Fixed,Repair Café 0026,2018-12-14,Display werkt niet
repaircafe_5358,Repair Café,NLD,Dutch,Printer/scanner,Canon,Unknown,2010,Unknown,Repair Café 0026,2018-12-14,Papierinvoer stroef
repaircafe_5359,Repair Café,NLD,Dutch,Laptop,Asus,Unknown,2013,Fixed,Repair Café 0026,2018-12-14,CD-klep afgebroken
repaircafe_5360,Repair Café,NLD,Dutch,Lamp,Unknown,Unknown,2016,Unknown,Repair Café 0026,2018-12-14,Onbekend
repaircafe_5361,Repair Café,NLD,Dutch,Vacuum,Philips ,Unknown,2010,Fixed,Repair Café 0026,2018-12-14,Minder zuigkracht
repaircafe_5362,Repair Café,NLD,Dutch,Vacuum,Pro Electric,Unknown,????,Fixed,Repair Café 0026,2018-12-14,Schakelaar kapot
repaircafe_5363,Repair Café,NLD,Dutch,Small kitchen item,Philips ,Unknown,2012,Repairable,Repair Café 0026,2018-12-14,Warmt niet op
repaircafe_5365,Repair Café,NLD,Dutch,Portable radio,Digital MT Logic,Unknown,2008,Fixed,Repair Café 0026,2018-12-07,Doet het niet meer
repaircafe_5366,Repair Café,NLD,Dutch,Lamp,Estiluz,Unknown,1992,Fixed,Repair Café 0026,2018-12-07,1 pinnetje van het lampje is afgebroken en zit in de fitting
repaircafe_5368,Repair Café,NLD,Dutch,Small kitchen item,DeLonghi,Unknown,2015,Fixed,Repair Café 0026,2018-12-07,Water invoer
repaircafe_5369,Repair Café,NLD,Dutch,Small home electrical,Dymo,Unknown,????,Unknown,Repair Café 0026,2018-12-07,Hoofdletter A is niet goed
repaircafe_5370,Repair Café,NLD,Dutch,Small kitchen item,Saeco,Unknown,2015,Fixed,Repair Café 0026,2018-12-07,Stopt na enkele druppels en laat koffiedrab achter
repaircafe_5371,Repair Café,NLD,Dutch,Lamp,Gamma,Unknown,????,Fixed,Repair Café 0026,2018-12-07,Lamp is gevallen en er zijn 2 nokjes los van de kap
repaircafe_5372,Repair Café,NLD,Dutch,Sewing machine,Toyota,Unknown,2013,Fixed,Repair Café 0026,2018-11-30,Naait altijd naar links
repaircafe_5373,Repair Café,NLD,Dutch,Vacuum,Philips ,Unknown,2017,Fixed,Repair Café 0026,2018-11-30,Zuigt niet hard genoeg
repaircafe_5374,Repair Café,NLD,Dutch,Hi-Fi separates,Philips ,Unknown,2000,Unknown,Repair Café 0026,2018-11-30,Doet niets
repaircafe_5375,Repair Café,NLD,Dutch,Vacuum,Samsung,Unknown,2012,Fixed,Repair Café 0026,2018-11-30,Doet een beetje raar. De regelaar werkt niet goed.
repaircafe_5376,Repair Café,NLD,Dutch,Large home electrical,Florabest,Unknown,2016,Fixed,Repair Café 0026,2018-11-30,Doet het niet
repaircafe_5377,Repair Café,NLD,Dutch,Portable radio,Philips ,Unknown,2008,Fixed,Repair Café 0026,2018-11-30,Radio doet het niet goed
repaircafe_5378,Repair Café,NLD,Dutch,Battery/charger/adapter,Blackberry,Unknown,2008,Unknown,Repair Café 0026,2018-11-30,Draad kapot
repaircafe_5379,Repair Café,NLD,Dutch,Small kitchen item,RC-8,Unknown,2014,Fixed,Repair Café 0026,2018-11-30,"Doet het niet, al eerder langsgeweest"
repaircafe_5380,Repair Café,NLD,Dutch,Small kitchen item,Krups,Unknown,2010,Fixed,Repair Café 0026,2018-11-30,Onbekend
repaircafe_5381,Repair Café,NLD,Dutch,Kettle,Intertek,Unknown,2015,Fixed,Repair Café 0026,2018-11-30,Doet het plotseling niet
repaircafe_5382,Repair Café,NLD,Dutch,Hi-Fi separates,Philips ,Unknown,2000,Fixed,Repair Café 0026,2018-11-30,CD doet het niet
repaircafe_5383,Repair Café,NLD,Dutch,Vacuum,Dyson,Unknown,2012,Fixed,Repair Café 0026,2018-11-23,motor defect
repaircafe_5384,Repair Café,NLD,Dutch,Small home electrical,Rowenta,Unknown,????,Unknown,Repair Café 0056,2019-01-25,Doet het niet meer
repaircafe_5385,Repair Café,NLD,Dutch,Small kitchen item,Adler,Unknown,????,Unknown,Repair Café 0056,2019-01-25,Doet het niet meer
