data_provider,product_category,repair_status,total
Repair Café Toronto,Unpowered - Other,Unknown,61
Repair Café Toronto,Unpowered - Textile,End of life,69
Repair Café Toronto,Unpowered - Textile,Fixed,707
Repair Café Toronto,Unpowered - Textile,Repairable,46
Repair Café Toronto,Unpowered - Textile,Unknown,1614
The Restart Project,Unpowered - Bicycle,End of life,86
The Restart Project,Unpowered - Bicycle,Fixed,4021
The Restart Project,Unpowered - Bicycle,Repairable,633
The Restart Project,Unpowered - Bicycle,Unknown,31
The Restart Project,Unpowered - Furniture,End of life,149
The Restart Project,Unpowered - Furniture,Fixed,2112
The Restart Project,Unpowered - Furniture,Repairable,658
The Restart Project,Unpowered - Furniture,Unknown,10
The Restart Project,Unpowered - Household,End of life,233
The Restart Project,Unpowered - Household,Fixed,9561
The Restart Project,Unpowered - Household,Repairable,387
The Restart Project,Unpowered - Household,Unknown,67
The Restart Project,Unpowered - Jewellery,End of life,111
The Restart Project,Unpowered - Jewellery,Fixed,2698
The Restart Project,Unpowered - Jewellery,Repairable,534
The Restart Project,Unpowered - Jewellery,Unknown,14
The Restart Project,Unpowered - Other,End of life,822
The Restart Project,Unpowered - Other,Fixed,7873
The Restart Project,Unpowered - Other,Repairable,1911
The Restart Project,Unpowered - Other,Unknown,74
The Restart Project,Unpowered - Textile,End of life,293
The Restart Project,Unpowered - Textile,Fixed,22794
The Restart Project,Unpowered - Textile,Repairable,1756
The Restart Project,Unpowered - Textile,Unknown,144
anstiftung,Unpowered - Bicycle,End of life,78
anstiftung,Unpowered - Bicycle,Fixed,928
anstiftung,Unpowered - Bicycle,Repairable,124
anstiftung,Unpowered - Bicycle,Unknown,10
anstiftung,Unpowered - Furniture,End of life,33
anstiftung,Unpowered - Furniture,Fixed,345
anstiftung,Unpowered - Furniture,Repairable,41
anstiftung,Unpowered - Furniture,Unknown,6
anstiftung,Unpowered - Household,End of life,117
anstiftung,Unpowered - Household,Fixed,844
anstiftung,Unpowered - Household,Repairable,83
anstiftung,Unpowered - Household,Unknown,11
anstiftung,Unpowered - Jewellery,End of life,6
anstiftung,Unpowered - Jewellery,Fixed,68
anstiftung,Unpowered - Jewellery,Repairable,5
anstiftung,Unpowered - Jewellery,Unknown,1
anstiftung,Unpowered - Other,End of life,10
anstiftung,Unpowered - Other,Fixed,55
anstiftung,Unpowered - Other,Repairable,9
anstiftung,Unpowered - Other,Unknown,1
anstiftung,Unpowered - Textile,End of life,85
anstiftung,Unpowered - Textile,Fixed,3179
anstiftung,Unpowered - Textile,Repairable,168
anstiftung,Unpowered - Textile,Unknown,15
