id,data_provider,country,partner_product_category,product_category,product_category_id,brand,year_of_manufacture,product_age,repair_status,repair_barrier_if_end_of_life,group_identifier,event_date,problem
rcdenmark_3,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Airfryer","Small kitchen item",29,Bodum,,,"End of life","No way to open product","RC Solrød",2023-09-30,
rcdenmark_4,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Ledningsfri støvsuger",Vacuum,34,Bosch,,,Fixed,,"RC Solrød",2023-09-30,
rcdenmark_8,"Repair Café Denmark",DNK,"Andet ~ Symaskine","Sewing machine",27,Princess,,,Fixed,,"RC Solrød",2023-09-30,
rcdenmark_10,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Elkedel",Kettle,14,OBH,,,"End of life","Item too worn out","RC Solrød",2023-09-30,
rcdenmark_14,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Vækkeur",Watch/clock,35,Unknown,,,Fixed,,"RC Ringsted",2023-09-30,
rcdenmark_15,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Kaffekværn","Small home electrical",28,Unknown,,,Fixed,,"RC Ringsted",2023-09-30,
rcdenmark_16,"Repair Café Denmark",DNK,"Mobil/smartphone ~ Mobil",Mobile,19,Unknown,,,Repairable,,"RC Ringsted",2023-09-30,
rcdenmark_17,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Symaskine","Sewing machine",27,Linea,,,Fixed,,"RC Ringsted",2023-09-30,
rcdenmark_18,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Radio","Portable radio",23,Unknown,,,Fixed,,"RC Ringsted",2023-09-30,
rcdenmark_22,"Repair Café Denmark",DNK,"Lamper ~ Lampe",Lamp,15,Unknown,,,Fixed,,"RC Lejre By",2023-09-30,
rcdenmark_23,"Repair Café Denmark",DNK,"Værktøj/haveredskaber ~ Robotstøvsuger",Vacuum,34,erobot,,,Fixed,,"RC Lejre By",2023-09-30,
rcdenmark_24,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Føntørrer","Hair dryer",39,Unknown,,,Fixed,,"RC Lejre By",2023-09-30,
rcdenmark_28,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Strygejern",Iron,40,Unknown,,,"End of life",,"RC Lejre By",2023-09-30,
rcdenmark_32,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Symaskine","Sewing machine",27,"EVA 2418",,,Fixed,,"RC Kbh Nørrebrohallen",2023-09-30,
rcdenmark_33,"Repair Café Denmark",DNK,"AV-udstyr ~ Kamera","Digital compact camera",5,Unknown,,,"End of life","No way to open product","RC Kbh Nørrebrohallen",2023-09-30,
rcdenmark_34,"Repair Café Denmark",DNK,"AV-udstyr ~ Høretelefon",Headphones,11,Unknown,,,"End of life","No way to open product","RC Kbh Nørrebrohallen",2023-09-30,
rcdenmark_35,"Repair Café Denmark",DNK,"Computere/tablets ~ Printer",Printer/scanner,25,"Epson SX235W",,,Fixed,,"RC Kbh Nørrebrohallen",2023-09-30,
rcdenmark_36,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Mixer","Food processor",37,"Melissa Mixit",,,Fixed,,"RC Kbh Nørrebrohallen",2023-09-30,
rcdenmark_37,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Kaffekværn","Small home electrical",28,Bodum,,,Fixed,,"RC Kbh Nørrebrohallen",2023-09-30,
rcdenmark_39,"Repair Café Denmark",DNK,"Lamper ~ Transformer",Battery/charger/adapter,2,Uniross,,,Fixed,,"RC Kbh Nørrebrohallen",2023-09-30,
rcdenmark_42,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Symaskine","Sewing machine",27,Unknown,,,Fixed,,"RC inside hammel",2023-09-30,
rcdenmark_45,"Repair Café Denmark",DNK,"Lamper ~ Lampe",Lamp,15,Unknown,,,Fixed,,"RC inside hammel",2023-09-30,
rcdenmark_46,"Repair Café Denmark",DNK,"Lamper ~ Lampe",Lamp,15,Unknown,,,Fixed,,"RC inside hammel",2023-09-30,
rcdenmark_47,"Repair Café Denmark",DNK,"Lamper ~ Lampe",Lamp,15,Unknown,,,Fixed,,"RC inside hammel",2023-09-30,
rcdenmark_48,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Symaskine","Sewing machine",27,Merritt,,,Fixed,,"RC Allerød",2023-09-30,
rcdenmark_49,"Repair Café Denmark",DNK,"Cykler ~ elløbehjul","Large home electrical",17,Veel,,,Unknown,,"RC Allerød",2023-09-30,
rcdenmark_51,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Digital væggeur",Watch/clock,35,LEGO,,,Fixed,,"RC Allerød",2023-09-30,
rcdenmark_53,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Røremaskine","Food processor",37,"Kitchen Aid",,,Fixed,,"RC Allerød",2023-09-30,
rcdenmark_54,"Repair Café Denmark",DNK,"Husholdningsapparater ~ symaskine","Sewing machine",27,"Elna sumaskine",,,Unknown,,"RC Allerød",2023-09-30,
rcdenmark_56,"Repair Café Denmark",DNK,"Andet ~ Ventilator",Fan,7,"Duka ventilation",,,Unknown,,"RC Allerød",2023-09-30,
rcdenmark_57,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Støvsuger",Vacuum,34,Phillips,,,Fixed,,"RC Allerød",2023-09-30,
rcdenmark_58,"Repair Café Denmark",DNK,"Husholdningsapparater ~ En dampmaskine der ikke længere varmer vandet","Small home electrical",28,"Den gule måske käler el noget",,,Fixed,,"RC Allerød",2023-09-30,
rcdenmark_59,"Repair Café Denmark",DNK,"Andet ~ Ismaskine","Small kitchen item",29,Hugin,,,Fixed,,"RC Allerød",2023-09-30,
rcdenmark_64,"Repair Café Denmark",DNK,"Værktøj/haveredskaber ~ Græsslåmaskine","Power tool",24,Bosch,,,Fixed,,"RC Allerød",2023-09-30,
rcdenmark_65,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Symaskine","Sewing machine",27,Singer,,,Fixed,,"RC Allerød",2023-09-30,
rcdenmark_66,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Symaskine","Sewing machine",27,Bernina,,,Fixed,,"RC Allerød",2023-09-30,
rcdenmark_67,"Repair Café Denmark",DNK,"Husholdningsapparater ~ støvsuger",Vacuum,34,Miele,,,Fixed,,"RC Allerød",2023-09-30,
rcdenmark_68,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Bilstøvsuger",Vacuum,34,Autogogo,,,Fixed,,"RC Allerød",2023-09-30,
rcdenmark_69,"Repair Café Denmark",DNK,"Andet ~ Badevægt","Small home electrical",28,Tanita,,,Fixed,,"RC Allerød",2023-09-30,
rcdenmark_70,"Repair Café Denmark",DNK,"Lamper ~ Lampe",Lamp,15,Unknown,,,Unknown,,"RC Allerød",2023-09-30,
rcdenmark_71,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Brødrister",Toaster,31,Coop,,,"End of life",,"RC Allerød",2023-09-30,
rcdenmark_72,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Støvsuger",Vacuum,34,Mile,,,Fixed,,"RC Allerød",2023-09-30,
rcdenmark_73,"Repair Café Denmark",DNK,"AV-udstyr ~ Super VHS videomaskine","TV and gaming-related accessories",33,JVC,,,Fixed,,"RC Allerød",2023-09-30,
rcdenmark_75,"Repair Café Denmark",DNK,"Andet ~ Bernina overlocker","Sewing machine",27,Bernina,,,Unknown,,"RC Allerød",2023-09-30,
rcdenmark_77,"Repair Café Denmark",DNK,"Værktøj/haveredskaber ~ Buskklipper","Large home electrical",17,Stihl,,,Fixed,,"RC Allerød",2023-09-30,
rcdenmark_78,"Repair Café Denmark",DNK,"Husholdningsapparater ~ vaffeljern","Small kitchen item",29,OBH,,,"End of life","No way to open product","RC Svendborg",2023-09-27,
rcdenmark_80,"Repair Café Denmark",DNK,"Lamper ~ lampe",Lamp,15,ikea,,,Fixed,,"RC Svendborg",2023-09-27,
rcdenmark_81,"Repair Café Denmark",DNK,"Computere/tablets ~ PC","Desktop computer",4,IBM,,,"End of life","No way to open product","RC Svendborg",2023-09-27,
rcdenmark_82,"Repair Café Denmark",DNK,"Mobil/smartphone ~ telefon",Mobile,19,Samsung,,,Unknown,,"RC Svendborg",2023-09-27,
rcdenmark_83,"Repair Café Denmark",DNK,"Computere/tablets ~ Computer",Laptop,16,HP,,,Fixed,,"RC Svendborg",2023-09-27,
