id,data_provider,country,partner_product_category,product_category,product_category_id,brand,year_of_manufacture,product_age,repair_status,repair_barrier_if_end_of_life,group_identifier,event_date,problem
rctoronto_51,Repair Café Toronto,CAN,Sewing machine,Sewing machine,27,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_52,Repair Café Toronto,CAN,Mixmaster,Food processor,37,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_59,Repair Café Toronto,CAN,Sander,Power tool,24,Unknown,"","",Unknown,"",Repair Café Toronto,2016-03-19,""
rctoronto_53,Repair Café Toronto,CAN,Mug warmer,Small kitchen item,29,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_54,Repair Café Toronto,CAN,DVD player,TV and gaming-related accessories,33,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_55,Repair Café Toronto,CAN,Massager1,Hair & beauty item,9,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_56,Repair Café Toronto,CAN,Massager2,Hair & beauty item,9,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_57,Repair Café Toronto,CAN,Hand mixer,Food processor,37,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_58,Repair Café Toronto,CAN,Flosser,Hair & beauty item,9,Unknown,"","",End of life,"",Repair Café Toronto,2020-01-18,""
rctoronto_68,Repair Café Toronto,CAN,Boombox,Hi-Fi separates,13,Unknown,"","",Fixed,"",Repair Café Toronto,2016-03-19,""
rctoronto_61,Repair Café Toronto,CAN,Computer,Laptop,16,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_62,Repair Café Toronto,CAN,Tape recorder,Hi-Fi separates,13,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_63,Repair Café Toronto,CAN,Speakers,Hi-Fi separates,13,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_65,Repair Café Toronto,CAN,Computer,Laptop,16,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_66,Repair Café Toronto,CAN,Mouse,PC accessory,22,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_67,Repair Café Toronto,CAN,Laptop,Laptop,16,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_70,Repair Café Toronto,CAN,Electric pencil sharpener,Small home electrical,28,Unknown,"","",Fixed,"",Repair Café Toronto,2016-03-19,""
rctoronto_69,Repair Café Toronto,CAN,Computer,Laptop,16,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_74,Repair Café Toronto,CAN,Digital Camera,Digital compact camera,5,Unknown,"","",Fixed,"",Repair Café Toronto,2016-03-19,""
rctoronto_71,Repair Café Toronto,CAN,Sewing machine,Sewing machine,27,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_72,Repair Café Toronto,CAN,Heating pad,Small home electrical,28,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_73,Repair Café Toronto,CAN,Boiler,Kettle,14,Unknown,"","",End of life,"",Repair Café Toronto,2020-01-18,""
rctoronto_77,Repair Café Toronto,CAN,Drill charger,Power tool,24,Unknown,"","",Unknown,"",Repair Café Toronto,2016-03-19,""
rctoronto_76,Repair Café Toronto,CAN,Laptop,Laptop,16,Unknown,"","",End of life,"",Repair Café Toronto,2020-01-18,""
rctoronto_82,Repair Café Toronto,CAN,Remote,Small home electrical,28,Unknown,"","",Fixed,"",Repair Café Toronto,2016-03-19,""
rctoronto_80,Repair Café Toronto,CAN,Camera,Digital compact camera,5,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_81,Repair Café Toronto,CAN,Headphones,Headphones,11,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_83,Repair Café Toronto,CAN,Remote control,Small home electrical,28,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_85,Repair Café Toronto,CAN,Hair clipper,Hair & beauty item,9,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_86,Repair Café Toronto,CAN,Slide viewer,Projector,26,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_87,Repair Café Toronto,CAN,Hair straightener,Hair & beauty item,9,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_88,Repair Café Toronto,CAN,Tablet,Tablet,30,Unknown,"","",End of life,"",Repair Café Toronto,2020-01-18,""
rctoronto_89,Repair Café Toronto,CAN,Blender,Food processor,37,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_91,Repair Café Toronto,CAN,MP3 player,Handheld entertainment device,10,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_92,Repair Café Toronto,CAN,Fan,Fan,7,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_94,Repair Café Toronto,CAN,MP3 player,Handheld entertainment device,10,Unknown,"","",Repairable,"",Repair Café Toronto,2020-01-18,""
rctoronto_95,Repair Café Toronto,CAN,Stereo,Hi-Fi integrated,12,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_96,Repair Café Toronto,CAN,Lamp,Lamp,15,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-18,""
rctoronto_97,Repair Café Toronto,CAN,Flashlight,Decorative or safety lights,3,Unknown,"","",Fixed,"",Repair Café Toronto,2020-01-18,""
rctoronto_98,Repair Café Toronto,CAN,hair straightener,Hair & beauty item,9,Unknown,"","",Unknown,"",Repair Café Toronto,2020-01-21,""
rctoronto_99,Repair Café Toronto,CAN,Iron,Iron,40,Unknown,"","",Fixed,"",Repair Café Toronto,2020-01-21,""
rctoronto_100,Repair Café Toronto,CAN,Blender,Food processor,37,Unknown,"","",End of life,"",Repair Café Toronto,2020-01-21,""
