id,data_provider,country,partner_product_category,product_category,product_category_id,brand,year_of_manufacture,product_age,repair_status,repair_barrier_if_end_of_life,group_identifier,event_date,problem
rcdenmark_100,"Repair Café Denmark",DNK,"LED lys","Decorative or safety lights",3,Unknown,,,Fixed,,"Repair Café Danmark",2021-12-04,
rcdenmark_106,"Repair Café Denmark",DNK,Computer,"Desktop computer",4,Unknown,,,Fixed,,"Repair Café Danmark",2022-02-02,
rcdenmark_107,"Repair Café Denmark",DNK,Macbook,Laptop,16,Apple,,,Fixed,,"Repair Café Danmark",2022-02-02,
rcdenmark_112,"Repair Café Denmark",DNK,"AV-udstyr ~ Computermus","PC accessory",22,Unknown,,,Unknown,,"Repair Café Danmark",2022-02-20,
rcdenmark_114,"Repair Café Denmark",DNK,"Stationær pc","Desktop computer",4,HP,,,Unknown,,"Repair Café Danmark",2022-02-09,
rcdenmark_124,"Repair Café Denmark",DNK,"AV-udstyr ~ Høretelefoner",Headphones,11,Unknown,,,"End of life","Spare parts not available","Repair Café Danmark",2022-02-13,
rcdenmark_130,"Repair Café Denmark",DNK,"AV-udstyr ~ Kalender",Tablet,30,Unknown,,,Fixed,,"Repair Café Danmark",2022-02-16,
rcdenmark_155,"Repair Café Denmark",DNK,"Værktøj/haveredskaber ~ Skruemaskine","Power tool",24,Bosch,,,Fixed,,"Repair Café Danmark",2022-03-30,
rcdenmark_156,"Repair Café Denmark",DNK,"Værktøj/haveredskaber ~ Skruemaskine","Power tool",24,Bosch,,,Fixed,,"Repair Café Danmark",2022-03-30,
rcdenmark_158,"Repair Café Denmark",DNK,Lampe,Lamp,15,Unknown,,,Repairable,,"Repair Café Danmark",2022-04-02,
rcdenmark_163,"Repair Café Denmark",DNK,Playstation,"Games console",38,Sony,,,Fixed,,"Repair Café Danmark",2022-04-20,
rcdenmark_170,"Repair Café Denmark",DNK,Lampe,Lamp,15,Unknown,,,"End of life","Item too worn out","Repair Café Danmark",2022-05-07,
rcdenmark_181,"Repair Café Denmark",DNK,"AV-udstyr ~ Høretelefoner",Headphones,11,Unknown,,,Fixed,,"Repair Café Danmark",2022-05-14,
rcdenmark_182,"Repair Café Denmark",DNK,Foderautomat,"Small kitchen item",29,Unknown,,,Fixed,,"Repair Café Danmark",2022-05-14,
rcdenmark_193,"Repair Café Denmark",DNK,"Lamper ~ Lampe",Lamp,15,Unknown,,,Fixed,,"Repair Café Danmark",2022-05-22,
rcdenmark_197,"Repair Café Denmark",DNK,"Andet ~ Babyalarm","Small home electrical",28,Neonate,,,Unknown,,"Repair Café Danmark",2022-10-12,
rcdenmark_198,"Repair Café Denmark",DNK,"Andet ~ Babyalarm","Small home electrical",28,Neonate,,,Unknown,,"Repair Café Danmark",2022-10-12,
rcdenmark_199,"Repair Café Denmark",DNK,"Andet ~ Babyalarm","Small home electrical",28,Neonate,,,Unknown,,"Repair Café Danmark",2022-10-12,
rcdenmark_204,"Repair Café Denmark",DNK,"Værktøj/haveredskaber ~ Lamineringsmaskine","Small home electrical",28,Unknown,,,Fixed,,"Repair Café Danmark",2022-09-10,
rcdenmark_227,"Repair Café Denmark",DNK,"Værktøj/haveredskaber ~ Motorsavskæde","Power tool",24,Partner,,,Fixed,,"Repair Café Danmark",2022-08-17,
rcdenmark_236,"Repair Café Denmark",DNK,"Lamper ~ Lampe",Lamp,15,Unknown,,,Fixed,,"Repair Café Danmark",2022-08-28,
rcdenmark_238,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Brødrister",Toaster,31,Unknown,,,Unknown,,"Repair Café Danmark",2022-08-30,
rcdenmark_245,"Repair Café Denmark",DNK,"Værktøj/haveredskaber ~ Batterilader",Battery/charger/adapter,2,Unknown,,,"End of life","Spare parts not available","Repair Café Danmark",2022-10-01,
rcdenmark_256,"Repair Café Denmark",DNK,"Lamper ~ Lampe / damper",Lamp,15,Unknown,,,Fixed,,"Repair Café Danmark",2022-01-06,
rcdenmark_257,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Støvsuger",Vacuum,34,Philips,,,Fixed,,"Repair Café Danmark",2022-01-06,
rcdenmark_258,"Repair Café Denmark",DNK,"Lamper ~ Pande lampe",Lamp,15,Triathalon,,,Fixed,,"Repair Café Danmark",2022-01-06,
rcdenmark_261,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Mælkeskummer","Small kitchen item",29,Bodem,,,Fixed,,"Repair Café Danmark",2022-01-06,
rcdenmark_262,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Symaskine","Sewing machine",27,Huskvarna,,,Fixed,,"Repair Café Danmark",2022-01-06,
rcdenmark_263,"Repair Café Denmark",DNK,"Computere/tablets ~ Switch","Handheld entertainment device",10,Nintendo,,,Unknown,,"Repair Café Danmark",2022-01-06,
rcdenmark_264,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Radio","Portable radio",23,Philips,,,Fixed,,"Repair Café Danmark",2022-01-06,
rcdenmark_265,"Repair Café Denmark",DNK,"Lamper ~ Lamper",Lamp,15,Unknown,,,Fixed,,"Repair Café Danmark",2022-01-06,
rcdenmark_266,"Repair Café Denmark",DNK,"Lamper ~ Lamper",Lamp,15,Unknown,,,"End of life","No way to open the product","Repair Café Danmark",2022-01-06,
rcdenmark_267,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Symaskine","Sewing machine",27,Elna,,,Fixed,,"Repair Café Danmark",2022-01-06,
rcdenmark_268,"Repair Café Denmark",DNK,"AV-udstyr ~ Forstærker","Hi-Fi separates",13,Akai,,,Unknown,,"Repair Café Danmark",2022-01-06,
rcdenmark_269,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Strygejern",Iron,40,Philips,,,"End of life","No way to open the product","Repair Café Danmark",2022-01-09,
rcdenmark_270,"Repair Café Denmark",DNK,"Andet ~ Fjernbetjeing/elev.seng","TV and gaming-related accessories",33,Unknown,,,Fixed,,"Repair Café Danmark",2022-01-09,
rcdenmark_272,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Symaskine","Sewing machine",27,Major,,,Fixed,,"Repair Café Danmark",2022-01-09,
rcdenmark_273,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Microbølgeovn","Large home electrical",17,Samsung,,,Unknown,,"Repair Café Danmark",2022-01-09,
rcdenmark_274,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Standerlampefod",Lamp,15,Designermærke,,,Fixed,,"Repair Café Danmark",2022-01-09,
rcdenmark_275,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Minimusikanlæg","Hi-Fi integrated",12,Unknown,,,Unknown,,"Repair Café Danmark",2022-01-09,
rcdenmark_276,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Slagnøgle","Power tool",24,Ford,,,"End of life","Spare parts not available","Repair Café Danmark",2022-01-09,
rcdenmark_277,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Fladskærms-TV","Flat screen",8,Samsung,,,Unknown,,"Repair Café Danmark",2022-01-09,
rcdenmark_280,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Støvsuger",Vacuum,34,Nilfisk,,,Fixed,,"Repair Café Danmark",2022-01-08,
rcdenmark_281,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Radio","Portable radio",23,Pioneer,,,Repairable,,"Repair Café Danmark",2022-01-08,
rcdenmark_282,"Repair Café Denmark",DNK,"AV-udstyr ~ Højtaler","Hi-Fi separates",13,Orion,,,Fixed,,"Repair Café Danmark",2022-01-12,
rcdenmark_283,"Repair Café Denmark",DNK,"Husholdningsapparater ~ Airfryer","Small kitchen item",29,"Tefal Actifry",,,"End of life","Spare parts not available","Repair Café Danmark",2022-01-12,
rcdenmark_284,"Repair Café Denmark",DNK,"AV-udstyr ~ Pladespiller","Hi-Fi separates",13,Unknown,,,Fixed,,"Repair Café Danmark",2022-01-12,
rcdenmark_287,"Repair Café Denmark",DNK,"Husholdningsapparater ~ røremaskine","Food processor",37,KitchenAid,,,Fixed,,"Repair Café Danmark",2022-01-16,
rcdenmark_288,"Repair Café Denmark",DNK,"AV-udstyr ~ forlængerledning",Battery/charger/adapter,2,Ikea,,,"End of life","No way to open the product","Repair Café Danmark",2022-01-16,
rcdenmark_289,"Repair Café Denmark",DNK,"Værktøj/haveredskaber ~ betonhammer","Power tool",24,Unknown,,,Fixed,,"Repair Café Danmark",2022-01-19,
rcdenmark_291,"Repair Café Denmark",DNK,"Radio CD afspiller","Portable radio",23,Sony,,,Unknown,,"Repair Café Danmark",2022-01-22,
rcdenmark_292,"Repair Café Denmark",DNK,Telefon,"Small home electrical",28,Doro,,,Unknown,,"Repair Café Danmark",2022-01-22,
rcdenmark_293,"Repair Café Denmark",DNK,Strygejern,Iron,40,Tefal,,,"End of life","Item too worn out","Repair Café Danmark",2022-01-22,
rcdenmark_295,"Repair Café Denmark",DNK,Blender,"Food processor",37,Alklpress,,,Fixed,,"Repair Café Danmark",2022-01-22,
rcdenmark_296,"Repair Café Denmark",DNK,Stavblender,"Food processor",37,Philips,,,Fixed,,"Repair Café Danmark",2022-01-22,
rcdenmark_297,"Repair Café Denmark",DNK,Lampe,Lamp,15,"Arkitekt lampe",,,Fixed,,"Repair Café Danmark",2022-01-22,
rcdenmark_298,"Repair Café Denmark",DNK,Kaffemaskine,"Coffee maker",36,Delonghi,,,Unknown,,"Repair Café Danmark",2022-01-22,
rcdenmark_299,"Repair Café Denmark",DNK,symaskine,"Sewing machine",27,Breninna,,,Fixed,,"Repair Café Danmark",2022-01-22,
